"Year,month",region,Avg_leads
2019-01,Perlis,3354.5927551731615
2019-02,Perlis,3375.315377472214
2019-03,Perlis,3064.2736203785817
2019-04,Perlis,2846.262724279067
2019-05,Perlis,2562.8151907705806
2019-06,Perlis,2449.2519149474665
2019-07,Perlis,3207.714073121871
2019-08,Perlis,3380.0212195943222
2019-09,Perlis,3297.8790325332666
2019-10,Perlis,3004.4144360629034
2019-11,Perlis,3003.5713522446
2019-12,Perlis,3158.0878539820637
2020-01,Perlis,2916.983220861096
2020-02,Perlis,2865.108696648621
2020-03,Perlis,2675.1612842784516
2020-04,Perlis,3121.9412732558667
2020-05,Perlis,3016.5235258105154
2020-06,Perlis,3578.6673239977326
2020-07,Perlis,3074.877539315129
2020-08,Perlis,2946.3682659161286
2020-09,Perlis,3082.367115589133
2020-10,Perlis,2623.7120656901293
2020-11,Perlis,2638.0562737825003
2020-12,Perlis,2758.2663609400006
2021-01,Perlis,2968.572786239903
2021-02,Perlis,2280.3220869594998
2021-03,Perlis,2218.180570697871
