"Year,month",region,Avg_leads
2019-01,Johor,93297.59952813774
2019-02,Johor,87143.63834027929
2019-03,Johor,83454.63294089465
2019-04,Johor,84299.73673279467
2019-05,Johor,77729.89770869611
2019-06,Johor,71650.15736439875
2019-07,Johor,88685.88565343742
2019-08,Johor,83435.26976128672
2019-09,Johor,83885.96402785582
2019-10,Johor,82002.39120457819
2019-11,Johor,84915.64949896747
2019-12,Johor,86687.97998439756
2020-01,Johor,84395.24830047543
2020-02,Johor,85048.35146398544
2020-03,Johor,67785.58090370806
2020-04,Johor,59306.92436679806
2020-05,Johor,81614.52825786207
2020-06,Johor,96416.32134072013
2020-07,Johor,83363.55664362178
2020-08,Johor,81381.16912803809
2020-09,Johor,78557.54744330204
2020-10,Johor,69245.24949916781
2020-11,Johor,64907.452070666186
2020-12,Johor,67737.13128591498
2021-01,Johor,73191.03998124573
2021-02,Johor,66278.09349551832
2021-03,Johor,68871.89929508652
