"Year,month",subcategory,Leads_per_ad
2019-01,Cars,9.001784730387696
2019-02,Cars,8.835985852000826
2019-03,Cars,8.494144092577267
2019-04,Cars,8.42117872031837
2019-05,Cars,8.255518957182082
2019-06,Cars,8.019326808831032
2019-07,Cars,8.253854395588814
2019-08,Cars,8.198707292971445
2019-09,Cars,8.428830969289818
2019-10,Cars,8.486336897143486
2019-11,Cars,8.667133859847459
2019-12,Cars,8.876835826254297
2020-01,Cars,8.95091247957337
2020-02,Cars,8.77591654979029
2020-03,Cars,7.914634024574491
2020-04,Cars,7.478442918812285
2020-05,Cars,8.629314874053863
2020-06,Cars,9.963547822641234
2020-07,Cars,8.47543385605011
2020-08,Cars,8.562184487127272
2020-09,Cars,8.62227747585629
2020-10,Cars,8.4137588916597
2020-11,Cars,8.423920884431459
2020-12,Cars,8.98595945653289
2021-01,Cars,10.473385911268663
2021-02,Cars,9.311938343245142
2021-03,Cars,10.566366341853428
