"Year,month",subcategory,Leads_per_ad
2019-01,Tickets & Vouchers,6.973824222024885
2019-02,Tickets & Vouchers,7.672946746563121
2019-03,Tickets & Vouchers,8.329870768480225
2019-04,Tickets & Vouchers,8.458468117179995
2019-05,Tickets & Vouchers,8.064561008779421
2019-06,Tickets & Vouchers,11.830827464084674
2019-07,Tickets & Vouchers,9.547926897681482
2019-08,Tickets & Vouchers,8.496039276326812
2019-09,Tickets & Vouchers,9.416618886827047
2019-10,Tickets & Vouchers,9.770211340289867
2019-11,Tickets & Vouchers,12.69401748489549
2019-12,Tickets & Vouchers,9.208618773195175
2020-01,Tickets & Vouchers,9.410635001662907
2020-02,Tickets & Vouchers,6.965499280255002
2020-03,Tickets & Vouchers,6.681925806546319
2020-04,Tickets & Vouchers,7.746941351658501
2020-05,Tickets & Vouchers,6.384051496602249
2020-06,Tickets & Vouchers,6.212394684437516
2020-07,Tickets & Vouchers,5.680945095452839
2020-08,Tickets & Vouchers,5.825879540237705
2020-09,Tickets & Vouchers,5.011098342564821
2020-10,Tickets & Vouchers,5.828167225929623
2020-11,Tickets & Vouchers,6.605082002199895
2020-12,Tickets & Vouchers,7.231274064928711
2021-01,Tickets & Vouchers,5.5625985427424425
2021-02,Tickets & Vouchers,5.151483330623107
2021-03,Tickets & Vouchers,4.945804760857528
