"Year,month",subcategory,Avg_leads
2019-01,Tickets & Vouchers,294.87727146787097
2019-02,Tickets & Vouchers,277.6851711437143
2019-03,Tickets & Vouchers,269.39110987896777
2019-04,Tickets & Vouchers,266.55666760879996
2019-05,Tickets & Vouchers,293.92451776361287
2019-06,Tickets & Vouchers,212.28543473
2019-07,Tickets & Vouchers,280.9432485430968
2019-08,Tickets & Vouchers,272.0111825656775
2019-09,Tickets & Vouchers,222.13055634066671
2019-10,Tickets & Vouchers,248.54962259832251
2019-11,Tickets & Vouchers,302.6144255078667
2019-12,Tickets & Vouchers,269.98658094412906
2020-01,Tickets & Vouchers,222.8252725833549
2020-02,Tickets & Vouchers,140.92952098717242
2020-03,Tickets & Vouchers,124.09616997961288
2020-04,Tickets & Vouchers,76.66888454306667
2020-05,Tickets & Vouchers,88.24881185690322
2020-06,Tickets & Vouchers,112.603578422
2020-07,Tickets & Vouchers,139.08417578535483
2020-08,Tickets & Vouchers,128.6954467185161
2020-09,Tickets & Vouchers,142.7308358988
2020-10,Tickets & Vouchers,76.47207517722579
2020-11,Tickets & Vouchers,89.11306495379999
2020-12,Tickets & Vouchers,105.20513676296775
2021-01,Tickets & Vouchers,48.73176296690324
2021-02,Tickets & Vouchers,43.96456527907144
2021-03,Tickets & Vouchers,40.201213849161284
