"Year,month",subcategory,Leads_per_ad
2019-01,Textbooks,5.5513713143623615
2019-02,Textbooks,5.645792115997427
2019-03,Textbooks,5.273748322184941
2019-04,Textbooks,5.656343387166219
2019-05,Textbooks,6.188715461018366
2019-06,Textbooks,5.78784626875024
2019-07,Textbooks,6.120365522535959
2019-08,Textbooks,5.458792547305304
2019-09,Textbooks,5.744088792920728
2019-10,Textbooks,5.265436580597837
2019-11,Textbooks,5.368724065800847
2019-12,Textbooks,5.622109304607393
2020-01,Textbooks,6.139018541312693
2020-02,Textbooks,5.140120160039505
2020-03,Textbooks,6.357000303197201
2020-04,Textbooks,5.677674934426278
2020-05,Textbooks,5.261785162567808
2020-06,Textbooks,6.307998340052778
2020-07,Textbooks,5.241348249539049
2020-08,Textbooks,4.3754551390910725
2020-09,Textbooks,4.994584684144269
2020-10,Textbooks,5.433643876598191
2020-11,Textbooks,5.092403499432608
2020-12,Textbooks,4.586525320350326
2021-01,Textbooks,7.341280260001525
2021-02,Textbooks,5.69549138102916
2021-03,Textbooks,4.8160849381354085
