"Year,month",subcategory,Leads_per_ad
2019-01,Wedding,5.936333201527739
2019-02,Wedding,5.656809173634839
2019-03,Wedding,5.51795908904922
2019-04,Wedding,5.845694601171344
2019-05,Wedding,5.51407021298918
2019-06,Wedding,5.721091520002627
2019-07,Wedding,5.692076051012488
2019-08,Wedding,5.815237276673286
2019-09,Wedding,5.757373469889825
2019-10,Wedding,5.657681619834815
2019-11,Wedding,5.589176275700613
2019-12,Wedding,5.61555556505097
2020-01,Wedding,5.567291548622619
2020-02,Wedding,5.620084737225053
2020-03,Wedding,6.019001980368301
2020-04,Wedding,5.790452313124165
2020-05,Wedding,6.374695968792643
2020-06,Wedding,5.980210145555707
2020-07,Wedding,4.641659989512072
2020-08,Wedding,4.9807639696313615
2020-09,Wedding,4.834175671105197
2020-10,Wedding,4.875548785771147
2020-11,Wedding,4.6868623331688894
2020-12,Wedding,5.226429079460244
2021-01,Wedding,4.735308166457046
2021-02,Wedding,5.583763048579169
2021-03,Wedding,5.353208568816216
