"Year,month",subcategory,Avg_leads
2019-01,Cars,170131.2864975964
2019-02,Cars,155370.50281285972
2019-03,Cars,150902.99534276364
2019-04,Cars,149822.77897295277
2019-05,Cars,145077.6254193058
2019-06,Cars,123078.4278691704
2019-07,Cars,147880.4248927649
2019-08,Cars,141633.58742341315
2019-09,Cars,145208.39816836317
2019-10,Cars,156596.778976968
2019-11,Cars,160908.6417897024
2019-12,Cars,168416.75053447197
2020-01,Cars,166650.52406926992
2020-02,Cars,163812.09582258703
2020-03,Cars,114401.90271748876
2020-04,Cars,64362.21952079041
2020-05,Cars,117916.62661154555
2020-06,Cars,185053.8125537112
2020-07,Cars,181741.79919733066
2020-08,Cars,176067.51438716616
2020-09,Cars,166843.32329198698
2020-10,Cars,148294.26219093625
2020-11,Cars,135849.0126666023
2020-12,Cars,161028.40889794982
2021-01,Cars,184155.04143216775
2021-02,Cars,140985.10468323634
2021-03,Cars,182412.42482248213
