"Year,month",subcategory,Avg_leads
2019-01,Houses,85451.57441002163
2019-02,Houses,79431.48271533535
2019-03,Houses,85004.61715514613
2019-04,Houses,84826.23854016302
2019-05,Houses,74038.07298883934
2019-06,Houses,71455.74802791298
2019-07,Houses,94490.75051057032
2019-08,Houses,84430.00929255097
2019-09,Houses,83285.56095129899
2019-10,Houses,86973.05437221193
2019-11,Houses,91011.78110215502
2019-12,Houses,83342.51737956
2020-01,Houses,81114.33579325837
2020-02,Houses,88406.97977347758
2020-03,Houses,65602.08503746838
2020-04,Houses,42961.77471138
2020-05,Houses,81275.97052325903
2020-06,Houses,120277.21000583102
2020-07,Houses,99595.58251915437
2020-08,Houses,96010.62601290309
2020-09,Houses,95843.80825015799
2020-10,Houses,83633.2877358692
2020-11,Houses,86863.99193897803
2020-12,Houses,93661.63429597516
2021-01,Houses,95861.60448654887
2021-02,Houses,96968.28665135938
2021-03,Houses,99717.22829997787
