"Year,month",channel_grouping,Avg_leads
2020-07,(Other),108688.66950965607
2020-07,Direct,224957.51346562893
2020-07,Display,0.275796844
2020-07,Email,286.95928033
2020-07,Organic Search,1.6399202608387098
2020-07,Paid Search,33797.150731439455
2020-07,Referral,29.79233098474193
2020-08,(Other),132931.52934094836
2020-08,Direct,211968.48758244383
2020-08,Display,0.40482910206451617
2020-08,Email,520.1437791682903
2020-08,Organic Search,2.645763693903226
2020-08,Paid Search,37171.594860547906
2020-08,Referral,17.44075079354839
2020-09,(Other),145532.06770619113
2020-09,Direct,188731.62117139268
2020-09,Email,542.3401214627
2020-09,Organic Search,3.5061871956666666
2020-09,Paid Search,37997.0954800992
2020-09,Referral,3.8953453066333337
2020-10,(Other),166483.14382038373
2020-10,Direct,210241.81674394617
2020-10,Display,0.137898422
2020-10,Email,612.7590397011613
2020-10,Organic Search,0.7733195970967741
2020-10,Paid Search,43851.278275362194
2020-10,Referral,5.119264628354839
2020-11,(Other),187040.20099978693
2020-11,Direct,185611.5636152347
2020-11,Display,95.4511120464
2020-11,Email,494.2193052761
2020-11,Organic Search,2.0241380342666666
2020-11,Paid Search,52027.27114688837
2020-11,Referral,18.167747149433332
2020-12,(Other),199422.50598511263
2020-12,Direct,193453.6533156856
2020-12,Display,751.273569520871
2020-12,Email,392.7923682037741
2020-12,Organic Search,0.5412363228387096
2020-12,Paid Search,59550.90867112578
2020-12,Referral,71.94388923190324
2021-01,(Other),223815.52021115585
2021-01,Direct,235038.94012632893
2021-01,Display,3390.5583938002906
2021-01,Email,260.5061628294516
2021-01,Paid Search,58930.98775341735
2021-01,Referral,22.66802510980645
2021-02,(Other),248257.08873243333
2021-02,Direct,159595.20030525507
2021-02,Display,4515.015383658858
2021-02,Email,135.83529787135714
2021-02,Organic Search,0.37104153585714283
2021-02,Paid Search,45395.02508315425
2021-02,Referral,29.62642114975
2021-03,(Other),271570.8547833761
2021-03,Direct,151811.08649929505
2021-03,Display,4270.088538480839
2021-03,Email,111.92168389196775
2021-03,Organic Search,0.13530908070967743
2021-03,Paid Search,47598.24213362041
2021-03,Referral,30.418884895096777
