"Year,month",subcategory,Avg_leads
2019-01,Textbooks,242.34677415251613
2019-02,Textbooks,257.0192307257143
2019-03,Textbooks,98.83808931329033
2019-04,Textbooks,142.47692305279998
2019-05,Textbooks,100.36228286141935
2019-06,Textbooks,105.76730767440002
2019-07,Textbooks,164.14392056774193
2019-08,Textbooks,110.32816375303227
2019-09,Textbooks,127.33269228613332
2019-10,Textbooks,107.74875928696775
2019-11,Textbooks,144.53653843706667
2019-12,Textbooks,166.4888337187097
2020-01,Textbooks,155.8194788818065
2020-02,Textbooks,154.15782490758622
2020-03,Textbooks,217.25620343716125
2020-04,Textbooks,216.6230768864
2020-05,Textbooks,169.53722081496778
2020-06,Textbooks,147.4442307442667
2020-07,Textbooks,93.9813895695484
2020-08,Textbooks,77.29218361625806
2020-09,Textbooks,73.74519230119999
2020-10,Textbooks,97.26333745948386
2020-11,Textbooks,67.05576922479999
2020-12,Textbooks,53.598945404516144
2021-01,Textbooks,82.51271711419356
2021-02,Textbooks,60.561813181142846
2021-03,Textbooks,62.34646401380646
