"Year,month",subcategory,Avg_leads
2019-01,Apartments,92674.40230085388
2019-02,Apartments,82714.07678870001
2019-03,Apartments,90525.26048614901
2019-04,Apartments,89940.88837914066
2019-05,Apartments,77333.56206582904
2019-06,Apartments,71313.06024208301
2019-07,Apartments,103514.11717830613
2019-08,Apartments,96574.35625260224
2019-09,Apartments,89780.67814006901
2019-10,Apartments,91720.7397710439
2019-11,Apartments,99856.69901777866
2019-12,Apartments,92230.47919547255
2020-01,Apartments,88532.38646806516
2020-02,Apartments,96682.30465182586
2020-03,Apartments,67441.13644334419
2020-04,Apartments,41336.014758234676
2020-05,Apartments,76074.22746953066
2020-06,Apartments,105201.26193384535
2020-07,Apartments,92901.06026026969
2020-08,Apartments,90015.77098852597
2020-09,Apartments,95845.13197895701
2020-10,Apartments,80988.80032593016
2020-11,Apartments,83587.80512113268
2020-12,Apartments,86506.68684461727
2021-01,Apartments,90662.52368594355
2021-02,Apartments,89223.60800534334
2021-03,Apartments,95289.5721066714
