"Year,month",region,Avg_leads
2019-01,Putrajaya,5873.051864471033
2019-02,Putrajaya,5577.097077621929
2019-03,Putrajaya,5067.0011802419995
2019-04,Putrajaya,5029.7542947716
2019-05,Putrajaya,4466.629511063291
2019-06,Putrajaya,3858.4740871013337
2019-07,Putrajaya,5186.308541442129
2019-08,Putrajaya,4792.8402178
2019-09,Putrajaya,4959.231544015201
2019-10,Putrajaya,4967.667741315936
2019-11,Putrajaya,4759.209873285
2019-12,Putrajaya,4951.907375371355
2020-01,Putrajaya,5202.627968160324
2020-02,Putrajaya,5049.441100174689
2020-03,Putrajaya,3845.4569823223874
2020-04,Putrajaya,3304.9041238508
2020-05,Putrajaya,4530.8704153983235
2020-06,Putrajaya,5630.373240620067
2020-07,Putrajaya,4536.569172341161
2020-08,Putrajaya,4447.00329277042
2020-09,Putrajaya,4435.989532424601
2020-10,Putrajaya,3887.920488861322
2020-11,Putrajaya,4195.059051900066
2020-12,Putrajaya,4195.387358113742
2021-01,Putrajaya,4608.229501918774
2021-02,Putrajaya,4067.943621518642
2021-03,Putrajaya,3798.2474923848067
