"Year,month",region,Avg_leads
2019-01,Labuan,465.3493215809677
2019-02,Labuan,427.7261999680714
2019-03,Labuan,399.97990945554835
2019-04,Labuan,472.4024403622667
2019-05,Labuan,428.1018432079355
2019-06,Labuan,331.3884603636666
2019-07,Labuan,428.56405224419365
2019-08,Labuan,427.94644517916123
2019-09,Labuan,459.8805747237333
2019-10,Labuan,464.8973077830967
2019-11,Labuan,387.86406466293334
2019-12,Labuan,451.6891987221935
2020-01,Labuan,446.63779644967747
2020-02,Labuan,448.4914040366206
2020-03,Labuan,372.962926946129
2020-04,Labuan,368.83465387613325
2020-05,Labuan,380.1054754967097
2020-06,Labuan,440.5299495604
2020-07,Labuan,408.50784866922584
2020-08,Labuan,426.66681575493544
2020-09,Labuan,485.84608882826666
2020-10,Labuan,432.24462731067734
2020-11,Labuan,345.3286512189333
2020-12,Labuan,349.2337943907742
2021-01,Labuan,410.8127769050968
2021-02,Labuan,438.4839889925713
2021-03,Labuan,382.2961075044516
