"Year,month",region,Leads_per_ad
2019-01,Kuala Lumpur,8.688691801970153
2019-02,Kuala Lumpur,8.673146796379918
2019-03,Kuala Lumpur,8.359411903294133
2019-04,Kuala Lumpur,8.28916546718621
2019-05,Kuala Lumpur,8.132346768747468
2019-06,Kuala Lumpur,8.20481336064235
2019-07,Kuala Lumpur,8.440467771403961
2019-08,Kuala Lumpur,8.51584636935016
2019-09,Kuala Lumpur,8.588030489211318
2019-10,Kuala Lumpur,8.502862504463238
2019-11,Kuala Lumpur,8.560918864024776
2019-12,Kuala Lumpur,8.713425775464431
2020-01,Kuala Lumpur,8.685904901710025
2020-02,Kuala Lumpur,8.592439290359401
2020-03,Kuala Lumpur,8.445799187267838
2020-04,Kuala Lumpur,8.656735921301452
2020-05,Kuala Lumpur,9.62167895608731
2020-06,Kuala Lumpur,9.325861759191797
2020-07,Kuala Lumpur,8.038941792500893
2020-08,Kuala Lumpur,7.908171972995378
2020-09,Kuala Lumpur,7.943478540242092
2020-10,Kuala Lumpur,7.837951296425303
2020-11,Kuala Lumpur,8.118411145344675
2020-12,Kuala Lumpur,8.167476913079188
2021-01,Kuala Lumpur,8.682985189699693
2021-02,Kuala Lumpur,8.48366285313413
2021-03,Kuala Lumpur,8.839907424392747
