"Year,month",region,Avg_leads
2019-01,Selangor,297118.5226050759
2019-02,Selangor,272280.85997508897
2019-03,Selangor,265206.15636768687
2019-04,Selangor,259160.83083622818
2019-05,Selangor,234987.95091865235
2019-06,Selangor,208174.86769176286
2019-07,Selangor,280544.1731330853
2019-08,Selangor,261132.83281526808
2019-09,Selangor,259967.3263891912
2019-10,Selangor,264787.815424118
2019-11,Selangor,268496.59460283536
2019-12,Selangor,265469.9513310403
2020-01,Selangor,264442.95851777337
2020-02,Selangor,262332.98881217156
2020-03,Selangor,205505.97907259347
2020-04,Selangor,162256.2930737304
2020-05,Selangor,252724.1608281627
2020-06,Selangor,316016.64347593446
2020-07,Selangor,278906.3399349296
2020-08,Selangor,262915.77312517766
2020-09,Selangor,257540.74831509657
2020-10,Selangor,219619.57139785125
2020-11,Selangor,217997.36262573936
2020-12,Selangor,228494.51374872914
2021-01,Selangor,246180.4549075779
2021-02,Selangor,232257.1902558766
2021-03,Selangor,245801.20150734566
