"Year,month",subcategory,Leads_per_ad
2019-04,Home Appliances & Kitchen,6.839569789769622
2019-04,Houses,8.076882175302595
2019-04,Jobs,10.991623962276703
2019-04,Land,6.5310018590388825
2019-04,Mobile Phones & Gadgets,9.660261517394177
2019-04,Moms & Kids,5.668455078518679
2019-04,Motorcycle Accessories & Parts,6.592459425039512
2019-04,Motorcycles,10.553088931425352
2019-04,Music Instruments,5.803163753587412
2019-04,Music/Movies/Books/Magazines,5.333652456507436
2019-04,Other Accessories & Parts,6.92221130863169
2019-04,Others,6.569142008697278
2019-04,Pets,6.825046600661995
2019-04,Professional/Business Equipment,6.949630325263642
2019-04,Rooms,8.720989088072894
2019-04,Services,7.368187345186876
2019-04,Shoes,5.848616839030638
2019-04,Sports & Outdoors,5.667285965992587
2019-04,TV/Audio/Video,7.582704688782431
2019-04,Textbooks,5.656343387166219
2019-04,Tickets & Vouchers,8.458468117179995
2019-04,Tours and Holidays,5.399054372462244
2019-04,Watches & Fashion Accessories,5.81539696206012
2019-04,Wedding,5.845694601171344
2019-05,Accessories for Phones & Gadgets,6.231768766973696
2019-05,Accommodation & Homestays,6.0996069831565425
2019-05,Apartments,7.651370018266095
2019-05,Bags & Wallets,6.018608690512604
2019-05,Bed & Bath,5.792276945891849
2019-05,Business for Sale,9.925576591476176
2019-05,Cameras & Photography,7.239766064687784
2019-05,Car Accessories & Parts,6.509644174027976
2019-05,Cars,8.255518957182082
2019-05,Clothes,5.793517339175801
2019-05,Commercial Properties,6.000707400381874
2019-05,Commercial Vehicle & Boats,7.2175068385851135
2019-05,Computers & Accessories,6.919190031915556
2019-05,Food,5.822507443277591
2019-05,Furniture & Decoration,6.074912861067559
2019-05,Games & Consoles,8.157291050590953
2019-05,Garden Items,5.670680952445254
2019-05,Health & Beauty,5.730875925078515
2019-05,Hobby & Collectibles,6.492293738128722
2019-05,Home Appliances & Kitchen,6.854357592011622
2019-05,Houses,7.757140041429262
2019-05,Jobs,9.72596295611554
2019-05,Land,6.399209762735828
2019-05,Mobile Phones & Gadgets,10.095979236026114
2019-05,Moms & Kids,5.707386977939576
2019-05,Motorcycle Accessories & Parts,6.568788113320501
2019-05,Motorcycles,9.656636935509766
2019-05,Music Instruments,5.705971524695062
2019-05,Music/Movies/Books/Magazines,5.363318350726515
2019-05,Other Accessories & Parts,7.19852973924163
2019-05,Others,6.341742750548108
2019-05,Pets,6.6188608713753165
2019-05,Professional/Business Equipment,6.659137194379882
2019-05,Rooms,8.229992362509863
2019-05,Services,7.149691658254657
2019-05,Shoes,5.7889326897668685
2019-05,Sports & Outdoors,5.553668643310515
2019-05,TV/Audio/Video,8.22350948244037
2019-05,Textbooks,6.188715461018366
2019-05,Tickets & Vouchers,8.064561008779421
2019-05,Tours and Holidays,5.572120517167774
2019-05,Watches & Fashion Accessories,5.789150752197253
2019-05,Wedding,5.51407021298918
2019-06,Accessories for Phones & Gadgets,6.434955298965776
2019-06,Accommodation & Homestays,6.387660690892535
2019-06,Apartments,7.559196067821927
2019-06,Bags & Wallets,5.877432399263594
2019-06,Bed & Bath,5.8813964918591815
2019-06,Business for Sale,8.89463847183512
2019-06,Cameras & Photography,7.161550043591402
2019-06,Car Accessories & Parts,6.2381051520590765
2019-06,Cars,8.019326808831032
2019-06,Clothes,5.822785992140386
2019-06,Commercial Properties,5.933286645006811
2019-06,Commercial Vehicle & Boats,6.6133051231575575
2019-06,Computers & Accessories,7.072746893597062
2019-06,Food,5.501191667965683
2019-06,Furniture & Decoration,6.065178701740671
2019-06,Games & Consoles,8.522219253612777
2019-06,Garden Items,5.610496677885476
2019-06,Health & Beauty,5.717260333843121
2019-06,Hobby & Collectibles,6.48941520837008
2019-06,Home Appliances & Kitchen,6.478900139200096
2019-06,Houses,7.858756065894032
2019-06,Jobs,9.554109600592609
2019-06,Land,6.4103004242229815
2019-06,Mobile Phones & Gadgets,10.452234801656164
2019-06,Moms & Kids,5.684940427742836
2019-06,Motorcycle Accessories & Parts,6.432304926255407
2019-06,Motorcycles,9.461101095909717
2019-06,Music Instruments,5.698659556700532
2019-06,Music/Movies/Books/Magazines,5.31095371049236
2019-06,Other Accessories & Parts,7.0210530661826835
2019-06,Others,6.208813882388981
2019-06,Pets,6.622501989734618
2019-06,Professional/Business Equipment,6.028828993547356
2019-06,Rooms,8.01182391290975
2019-06,Services,7.539537597385285
2019-06,Shoes,6.4113294213956324
2019-06,Sports & Outdoors,5.595791351802433
2019-06,TV/Audio/Video,8.235938846704517
2019-06,Textbooks,5.78784626875024
2019-06,Tickets & Vouchers,11.830827464084674
2019-06,Tours and Holidays,6.145399148643992
2019-06,Watches & Fashion Accessories,5.824704042818725
2019-06,Wedding,5.721091520002627
2019-07,Accessories for Phones & Gadgets,6.523071786455795
2019-07,Accommodation & Homestays,6.403998383274422
2019-07,Apartments,8.021218141311854
2019-07,Bags & Wallets,5.853120736217629
2019-07,Bed & Bath,5.856815484942581
2019-07,Business for Sale,10.067322230383766
2019-07,Cameras & Photography,7.293207584147017
2019-07,Car Accessories & Parts,6.301315316121058
2019-07,Cars,8.253854395588814
2019-07,Clothes,5.945424862340859
2019-07,Commercial Properties,6.201330638981515
2019-07,Commercial Vehicle & Boats,7.372060253452727
2019-07,Computers & Accessories,7.378604772677843
2019-07,Food,5.6444486873859345
2019-07,Furniture & Decoration,6.016264055993842
2019-07,Games & Consoles,8.845671752717536
2019-07,Garden Items,5.767062468559836
2019-07,Health & Beauty,5.767721893536668
2019-07,Hobby & Collectibles,6.659359587673185
2019-07,Home Appliances & Kitchen,6.529701789831372
2019-07,Houses,8.361379035957935
2019-07,Jobs,14.470263124696089
2019-07,Land,6.832558964323286
2019-07,Mobile Phones & Gadgets,10.09203308924043
2019-07,Moms & Kids,5.787589229126885
2019-07,Motorcycle Accessories & Parts,6.721326801838787
2019-07,Motorcycles,10.639549753148065
2019-07,Music Instruments,5.752106470368904
2019-07,Music/Movies/Books/Magazines,5.081247153121818
