"Year,month",region,Leads_per_ad
2019-01,Putrajaya,8.159486362547975
2019-02,Putrajaya,8.476488686637106
2019-03,Putrajaya,7.948176897478729
2019-04,Putrajaya,7.967220450303206
2019-05,Putrajaya,7.631506528512186
2019-06,Putrajaya,7.469701894149438
2019-07,Putrajaya,7.9739736119245315
2019-08,Putrajaya,7.734242896997338
2019-09,Putrajaya,7.839062745189235
2019-10,Putrajaya,7.816978792277305
2019-11,Putrajaya,7.702182168683868
2019-12,Putrajaya,7.948096118587143
2020-01,Putrajaya,7.989332937495159
2020-02,Putrajaya,8.153852379418822
2020-03,Putrajaya,7.922362953986139
2020-04,Putrajaya,8.871590557143422
2020-05,Putrajaya,9.399786305383138
2020-06,Putrajaya,9.033704080277708
2020-07,Putrajaya,7.47609749520663
2020-08,Putrajaya,7.636091937639233
2020-09,Putrajaya,7.565040693065334
2020-10,Putrajaya,7.207907476658075
2020-11,Putrajaya,8.004588392006646
2020-12,Putrajaya,7.984646889805988
2021-01,Putrajaya,8.48851337363114
2021-02,Putrajaya,7.895068061691393
2021-03,Putrajaya,8.11089295222939
