"Year,month",channel_grouping,Leads_per_ad
2020-07,(Other),4.360736854411986
2020-07,Direct,4.738154694143533
2020-07,Display,4.274851082
2020-07,Email,3.9120598875402828
2020-07,Organic Search,3.535767204
2020-07,Paid Search,4.268582104367542
2020-07,Referral,3.921257947216
2020-08,(Other),4.134139647109889
2020-08,Direct,4.783657883793269
2020-08,Display,2.509940432
2020-08,Email,3.716726894884595
2020-08,Organic Search,4.1888283106969695
2020-08,Paid Search,4.451270845693449
2020-08,Referral,3.1450377281438495
2020-09,(Other),4.494041086851632
2020-09,Direct,4.716413906816161
2020-09,Email,3.645500913640403
2020-09,Organic Search,4.716870609031746
2020-09,Paid Search,4.585705269741485
2020-09,Referral,3.1606494662202387
2020-10,(Other),5.325154703766466
2020-10,Direct,5.735923020909244
2020-10,Display,4.274851082
2020-10,Email,4.543664288077032
2020-10,Organic Search,4.345033043833333
2020-10,Paid Search,5.019333753211571
2020-10,Referral,4.2296879494374995
2020-11,(Other),5.7124731883385795
2020-11,Direct,6.032686024511915
2020-11,Display,5.420419642957003
2020-11,Email,4.965086944908361
2020-11,Organic Search,6.974754044333333
2020-11,Paid Search,5.462629611720918
2020-11,Referral,3.98014550629492
2020-12,(Other),5.895249945220419
2020-12,Direct,6.251464890063585
2020-12,Display,4.681240823544714
2020-12,Email,5.1700863656146785
2020-12,Organic Search,5.2432268785
2020-12,Paid Search,5.57967409315558
2020-12,Referral,7.527174254505092
2021-01,(Other),6.147493095236903
2021-01,Direct,6.675242073709443
2021-01,Display,4.805966419195443
2021-01,Email,5.001629459414113
2021-01,Paid Search,5.638046023606976
2021-01,Referral,5.499070642007326
2021-02,(Other),6.330559558881331
2021-02,Direct,6.262049971772441
2021-02,Display,4.729501686462436
2021-02,Email,5.16634238032555
2021-02,Organic Search,2.847290751
2021-02,Paid Search,5.562595583063549
2021-02,Referral,4.142745902217091
2021-03,(Other),6.665553940780592
2021-03,Direct,6.491674006907977
2021-03,Display,5.001355682109315
2021-03,Email,6.230742264972918
2021-03,Organic Search,4.194581502
2021-03,Paid Search,5.8779741029111054
2021-03,Referral,4.726972914220456
