"Year,month",region,Leads_per_ad
2019-01,Johor,8.331198902167891
2019-02,Johor,8.249997981312251
2019-03,Johor,8.033042908728843
2019-04,Johor,7.998795372643817
2019-05,Johor,7.768112195242982
2019-06,Johor,7.797685918765179
2019-07,Johor,8.12290216611527
2019-08,Johor,7.975313085946812
2019-09,Johor,8.039422115673172
2019-10,Johor,7.936728092816826
2019-11,Johor,8.036652126170445
2019-12,Johor,8.190684106493608
2020-01,Johor,8.143839077765367
2020-02,Johor,8.091581594272464
2020-03,Johor,8.082064286627709
2020-04,Johor,8.673606816566787
2020-05,Johor,9.375426330080693
2020-06,Johor,9.089602388888048
2020-07,Johor,7.542225730375075
2020-08,Johor,7.663560336141716
2020-09,Johor,7.6915609956029805
2020-10,Johor,7.353001614192882
2020-11,Johor,7.582207840525063
2020-12,Johor,7.669645061845845
2021-01,Johor,8.219530712690686
2021-02,Johor,8.223336684475493
2021-03,Johor,8.352670092592895
